Plate Type,Violation Code,Vehicle Body Type,Vehicle Make,Violation Location,Violation Time,Violation County,Vehicle Color,Violation In Front Of Or Opposite
PAS,70,4DSD,NISSA,114.0,Morning,Q,GREY,F
PAS,74,2DSD,HONDA,84.0,Early Morning,K,BL,I
PAS,71,4DSD,BMW,73.0,Morning,K,BL,I
PAS,31,SUBN,VOLKS,17.0,Afternoon,NY,WH,O
PAS,71,SEDN,HYUND,105.0,Early Morning,Q,WH,O
PAS,70,SUBN,BMW,112.0,Morning,Q,BK,F
PAS,38,SUBN,BMW,5.0,Early Morning,NY,WH,F
PAS,18,4DSD,FORD,120.0,Morning,R,BK,F
PAS,21,4DSD,AUDI,90.0,Morning,K,BL,F
PAS,21,SUBN,HONDA,32.0,Morning,NY,WH,F
PAS,21,SUBN,NISSA,32.0,Morning,NY,BL,O
PAS,38,SUBN,ME/BE,10.0,Morning,NY,WH,O
PAS,21,4DSD,MITSU,73.0,Morning,K,BLACK,O
PAS,70,SUBN,TOYOT,13.0,Early Morning,NY,WH,I
PAS,70,SUBN,DODGE,114.0,Morning,Q,GY,F
PAS,21,4DSD,TOYOT,114.0,Morning,Q,LT/,O
PAS,21,SUBN,KIA,115.0,Morning,Q,GY,F
PAS,71,4DSD,HYUND,104.0,Early Morning,Q,GY,O
PAS,38,SUBN,NISSA,18.0,Early Morning,NY,SILVE,O
PAS,38,4DSD,HYUND,112.0,Morning,Q,BK,F
PAS,31,SUBN,HONDA,24.0,Morning,NY,GY,F
PAS,38,VAN,CHEVR,23.0,Morning,NY,WH,F
PAS,38,4DSD,HONDA,106.0,Early Morning,Q,BLACK,I
PAS,21,SUBN,TOYOT,41.0,Morning,BX,GY,F
PAS,21,SUBN,JEEP,19.0,Morning,NY,BK,F
PAS,71,SUBN,NISSA,109.0,Early Morning,Q,GY,F
PAS,83,SUBN,FORD,72.0,Afternoon,K,GY,F
PAS,40,SUBN,JEEP,114.0,Morning,Q,WH,F
PAS,46,4DSD,HONDA,44.0,Morning,BX,WH,O
PAS,61,4DSD,ACURA,105.0,Morning,Q,BK,F
PAS,16,SUBN,SUBAR,94.0,Early Morning,K,WH,I
PAS,21,SUBN,TOYOT,114.0,Morning,Q,GY,F
PAS,70,SUBN,JEEP,112.0,Early Morning,Q,WH,I
PAS,40,4DSD,INFIN,94.0,Early Morning,K,BLACK,O
PAS,21,SUBN,TOYOT,25.0,Morning,NY,WH,F
PAS,38,SUBN,HONDA,104.0,Early Morning,Q,BK,F
PAS,38,SUBN,LEXUS,106.0,Early Morning,Q,GY,F
PAS,14,4DSD,INFIN,83.0,Early Morning,K,GY,F
PAS,21,4DSD,CHEVR,108.0,Morning,Q,BK,I
PAS,37,4DSD,ME/BE,20.0,Morning,NY,BK,F
PAS,38,PICK,FORD,13.0,Morning,NY,BK,F
PAS,14,4DSD,ME/BE,103.0,Early Morning,Q,WH,F
PAS,20,SUBN,ROVER,25.0,Early Morning,NY,WHITE,I
PAS,31,SUBN,JEEP,14.0,Early Morning,NY,OTHER,F
PAS,20,SUBN,AUDI,1.0,Morning,NY,WHITE,F
PAS,21,SUBN,MAZDA,114.0,Morning,Q,WH,O
PAS,74,SUBN,TOYOT,115.0,Early Morning,Q,GY,F
PAS,21,4DSD,CHEVR,25.0,Morning,NY,GREY,F
PAS,38,SUBN,HONDA,88.0,Morning,K,GY,F
SRF,71,SUBN,LEXUS,79.0,Morning,K,DK/,O
PAS,71,4DSD,ME/BE,109.0,Morning,Q,WH,F
PAS,21,SUBN,CHEVR,25.0,Morning,NY,RD,O
PAS,14,SUBN,FORD,115.0,Morning,Q,BK,I
PAS,70,SUBN,MAZDA,106.0,Morning,Q,WH,I
PAS,21,4DSD,CHEVR,104.0,Morning,Q,BL,F
PAS,21,4DSD,BMW,114.0,Morning,Q,SILVE,F
PAS,40,SUBN,NISSA,70.0,Morning,K,BK,F
PAS,21,SUBN,TOYOT,28.0,Morning,NY,GY,O
PAS,40,SUBN,LEXUS,71.0,Morning,K,WH,O
PAS,21,4DSD,TOYOT,79.0,Early Morning,K,GY,O
PAS,38,SUBN,NISSA,44.0,Morning,BX,WHITE,F
PAS,20,4DSD,ME/BE,102.0,Morning,Q,BK,O
PAS,21,SUBN,VOLKS,114.0,Morning,Q,GY,F
PAS,21,4DSD,VOLKS,52.0,Afternoon,BX,WH,F
PAS,21,CONV,SAAB,114.0,Morning,Q,BL,F
PAS,71,SUBN,FORD,115.0,Morning,Q,GY,F
PAS,71,4DSD,HONDA,106.0,Morning,Q,GY,O
PAS,70,4DSD,HONDA,47.0,Morning,BX,BLUE,F
PAS,37,SUBN,DODGE,112.0,Early Morning,Q,BK,I
PAS,37,4DSD,BMW,20.0,Early Morning,NY,BL,F
PAS,21,4DSD,TOYOT,14.0,Morning,NY,RED,F
PAS,37,SUBN,LEXUS,114.0,Early Morning,Q,BK,O
OMS,21,SUBN,TOYOT,6.0,Morning,NY,WH,I
PAS,38,SUBN,ALFAR,9.0,Early Morning,NY,WH,I
PAS,20,4DSD,MITSU,114.0,Early Morning,Q,GY,F
PAS,38,4DSD,TOYOT,70.0,Afternoon,K,GY,O
PAS,38,SUBN,CHRYS,18.0,Morning,NY,BL,F
PAS,71,4DSD,AUDI,106.0,Morning,Q,WH,O
PAS,16,4DSD,HYUND,23.0,Morning,NY,WH,I
PAS,31,SUBN,HONDA,109.0,Morning,Q,GY,F
PAS,38,SUBN,JEEP,103.0,Morning,Q,GY,I
PAS,53,4DSD,INFIN,67.0,Early Morning,K,BL,I
PAS,19,VAN,FORD,14.0,Early Morning,NY,WH,F
PAS,70,SUBN,HONDA,76.0,Morning,K,BK,O
PAS,21,PICK,HONDA,49.0,Morning,BX,RD,F
PAS,14,4DSD,ME/BE,72.0,Morning,K,GY,O
PAS,71,SUBN,CHEVR,114.0,Early Morning,Q,GY,F
PAS,31,SUBN,CADIL,6.0,Early Morning,NY,BLACK,O
PAS,71,SUBN,HONDA,103.0,Early Morning,Q,BK,O
PAS,38,4DSD,TOYOT,103.0,Morning,Q,RD,F
PAS,21,4DSD,NISSA,19.0,Morning,NY,GR,F
PAS,38,4DSD,ME/BE,110.0,Morning,Q,BL,I
PAS,40,4DSD,SUBAR,115.0,Early Morning,Q,BL,F
PAS,70,4DSD,SUBAR,78.0,Morning,K,BLUE,F
PAS,31,SUBN,DODGE,14.0,Morning,NY,WH,F
PAS,21,4DSD,ACURA,43.0,Morning,BX,WH,I
PAS,21,4DSD,ACURA,114.0,Morning,Q,BK,F
PAS,38,SUBN,ROVER,94.0,Early Morning,K,BL,F
PAS,70,4DSD,BMW,113.0,Early Morning,Q,BK,O
PAS,38,SUBN,ACURA,112.0,Early Morning,Q,GY,F
PAS,21,SUBN,CHEVR,109.0,Morning,Q,GY,F
PAS,71,4DSD,INFIN,121.0,Morning,R,GREEN,F
PAS,21,SUBN,SUBAR,19.0,Morning,NY,GY,O
PAS,21,SUBN,VOLVO,103.0,Morning,Q,BK,O
PAS,19,4DSD,DODGE,110.0,Early Morning,Q,GREY,O
PAS,38,SUBN,CHEVR,45.0,Morning,BX,BL,I
PAS,21,SUBN,TOYOT,33.0,Morning,NY,GREY,I
PAS,38,SUBN,FORD,120.0,Morning,R,WH,F
PAS,14,4DSD,HONDA,70.0,Morning,K,GL,I
PAS,71,4DSD,NISSA,32.0,Morning,NY,BK,F
PAS,75,4DSD,ACURA,48.0,Morning,BX,BK,F
PAS,74,CONV,BMW,20.0,Early Morning,NY,BL,F
PAS,31,SUBN,JEEP,19.0,Early Morning,NY,BK,F
PAS,21,SUBN,LEXUS,88.0,Early Morning,K,GY,I
PAS,13,4DSD,VOLVO,14.0,Early Morning,NY,BLACK,O
PAS,74,4DSD,BMW,114.0,Early Morning,Q,WH,I
PAS,74,2DSD,DODGE,6.0,Afternoon,NY,OR,O
PAS,21,4DSD,NISSA,26.0,Morning,NY,GY,I
PAS,50,SUBN,HONDA,79.0,Morning,K,GY,I
PAS,38,2DSD,PONTI,108.0,Morning,Q,RD,I
PAS,37,SUBN,FORD,5.0,Morning,NY,BK,O
PAS,16,SUBN,AUDI,5.0,Morning,NY,GY,F
PAS,40,SUBN,HONDA,46.0,Morning,BX,WHITE,O
PAS,14,2DSD,BMW,78.0,Morning,K,GY,F
OMS,71,PICK,JEEP,20.0,Morning,NY,WH,I
PAS,21,4DSD,NISSA,20.0,Morning,NY,GREY,O
PAS,14,4DSD,HONDA,13.0,Morning,NY,WH,F
PAS,38,SUBN,BMW,1.0,Early Morning,NY,WH,F
PAS,71,4DSD,BMW,18.0,Early Morning,NY,WHITE,F
PAS,21,SUBN,SUBAR,6.0,Morning,NY,GY,O
PAS,21,SUBN,LEXUS,84.0,Afternoon,K,WH,F
PAS,21,SUBN,FORD,79.0,Morning,K,WHITE,F
PAS,21,4DSD,ME/BE,77.0,Afternoon,K,WH,F
PAS,74,SUBN,ROVER,6.0,Morning,NY,BK,F
COM,14,VAN,FORD,19.0,Afternoon,NY,WH,F
PAS,20,4DSD,HONDA,14.0,Morning,NY,GY,F
PAS,70,4DSD,HONDA,1.0,Morning,NY,BROWN,I
PAS,21,4DSD,NISSA,94.0,Morning,K,BLACK,F
PAS,21,SUBN,SUBAR,6.0,Morning,NY,BK,F
PAS,53,2DSD,ME/BE,14.0,Early Morning,NY,WH,I
PAS,70,4DSD,AUDI,78.0,Morning,K,BL,O
PAS,20,4DSD,VOLVO,28.0,Afternoon,NY,WH,F
PAS,21,2DSD,BMW,25.0,Morning,NY,TAN,O
PAS,38,CONV,MINI,20.0,Morning,NY,BK,O
SRF,18,2DSD,BMW,23.0,Morning,NY,BLUE,O
PAS,21,SUBN,CHEVR,70.0,Afternoon,K,GY,F
PAS,61,SEMI,UTILI,105.0,Morning,Q,WHITE,F
PAS,21,4DSD,TOYOT,49.0,Morning,BX,GY,F
PAS,17,4DSD,BMW,13.0,Early Morning,NY,WHITE,O
PAS,20,SUBN,CHEVR,1.0,Afternoon,NY,WH,O
PAS,19,SUBN,ME/BE,115.0,Afternoon,Q,BK,F
PAS,38,4DSD,HYUND,107.0,Early Morning,Q,WH,I
PAS,38,4DSD,BMW,68.0,Early Morning,K,BL,F
PAS,38,4DSD,TOYOT,111.0,Early Morning,Q,BK,F
PAS,71,4DSD,TOYOT,46.0,Morning,BX,BL,F
PAS,40,SUBN,HONDA,1.0,Early Morning,NY,GREY,I
PAS,38,4DSD,NISSA,19.0,Early Morning,NY,GY,F
PAS,37,SUBN,JEEP,114.0,Early Morning,Q,WH,O
PAS,70,SUBN,CHRYS,106.0,Early Morning,Q,WH,F
PAS,21,SUBN,ME/BE,84.0,Morning,K,BL,F
PAS,70,SUBN,JEEP,62.0,Morning,K,BK,F
PAS,31,SUBN,JEEP,13.0,Morning,NY,GY,F
PAS,21,SUBN,HONDA,42.0,Afternoon,BX,BL,F
PAS,70,SUBN,FORD,105.0,Early Morning,Q,WH,I
PAS,21,4DSD,AUDI,17.0,Morning,NY,RD,F
PAS,38,SUBN,KIA,84.0,Morning,K,BK,F
PAS,38,4DSD,BUICK,46.0,Morning,BX,BK,F
PAS,14,SUBN,GMC,23.0,Morning,NY,WH,I
PAS,38,SUBN,JEEP,108.0,Early Morning,Q,GY,I
PAS,46,4DSD,CHEVR,32.0,Morning,NY,GY,F
PAS,20,SUBN,TOYOT,6.0,Morning,NY,BK,F
PAS,71,SUBN,SATUR,120.0,Morning,R,BL,I
PAS,20,4DSD,VOLKS,24.0,Morning,NY,GY,F
PAS,70,4DSD,NISSA,42.0,Morning,BX,BL,O
PAS,70,SUBN,HONDA,70.0,Morning,K,GY,F
PAS,21,SUBN,TOYOT,70.0,Afternoon,K,WH,O
PAS,21,4DSD,HYUND,79.0,Morning,K,GY,F
PAS,46,4DSD,NISSA,73.0,Morning,K,GY,O
PAS,71,SUBN,JEEP,43.0,Morning,BX,GY,F
PAS,21,4DSD,BMW,44.0,Morning,BX,BK,F
PAS,21,SUBN,JEEP,94.0,Afternoon,K,BLACK,O
PAS,40,PICK,CHEVR,121.0,Morning,R,WH,F
PAS,21,SUBN,HONDA,79.0,Morning,K,GY,F
PAS,21,SUBN,ME/BE,46.0,Morning,BX,BLACK,F
PAS,38,4DSD,TOYOT,66.0,Morning,K,GY,O
PAS,14,4DSD,TOYOT,60.0,Early Morning,K,GY,I
PAS,40,SUBN,FORD,48.0,Morning,BX,BLACK,F
PAS,20,4DSD,HYUND,52.0,Morning,BX,RED,F
PAS,40,SUBN,INFIN,46.0,Morning,BX,GY,O
PAS,40,SUBN,TOYOT,90.0,Morning,K,SILVE,F
PAS,31,SUBN,ROVER,19.0,Early Morning,NY,WH,F
PAS,31,SUBN,SUBAR,19.0,Morning,NY,GY,O
PAS,38,4DSD,HONDA,52.0,Early Morning,BX,WH,F
PAS,20,SUBN,KIA,46.0,Morning,BX,GY,I
PAS,71,SEDN,HYUND,50.0,Early Morning,BX,WH,F
PAS,40,SUBN,HONDA,23.0,Morning,NY,BK,F
PAS,21,SUBN,HONDA,78.0,Morning,K,BL,O
PAS,21,SUBN,SUBAR,78.0,Morning,K,WH,F
PAS,20,SUBN,INFIN,83.0,Early Morning,K,BK,F
PAS,70,4DSD,NISSA,83.0,Early Morning,K,WH,O
PAS,71,4DSD,HONDA,83.0,Early Morning,K,BK,F
PAS,71,PICK,CHEVR,41.0,Early Morning,BX,GL,O
PAS,38,SUBN,GMC,45.0,Early Morning,BX,GY,O
PAS,71,4DSD,TOYOT,62.0,Morning,K,RD,F
PAS,38,SUBN,TOYOT,62.0,Afternoon,K,GY,F
OMS,14,SUBN,DODGE,34.0,Morning,NY,BK,I
PAS,21,SUBN,HONDA,34.0,Morning,NY,BL,F
PAS,46,SUBN,FORD,115.0,Early Morning,Q,BL,F
PAS,16,4DSD,HYUND,78.0,Afternoon,K,BK,F
PAS,16,4DSD,HYUND,28.0,Early Morning,NY,GREY,F
PAS,37,4DSD,HONDA,19.0,Early Morning,NY,RD,F
PAS,46,SUBN,CADIL,46.0,Early Morning,BX,BK,I
PAS,70,SUBN,CHEVR,49.0,Early Morning,BX,GY,I
PAS,72,4DSD,MAZDA,79.0,Early Morning,K,BL,F
PAS,38,4DSD,VOLVO,69.0,Early Morning,K,TN,F
PAS,21,4DSD,FORD,70.0,Morning,K,RED,F
PAS,46,SUBN,INFIN,72.0,Early Morning,K,GY,F
PAS,40,4DSD,NISSA,114.0,Early Morning,Q,WH,I
PAS,37,SUBN,NISSA,45.0,Early Morning,BX,BL,O
PAS,71,SUBN,INFIN,42.0,Early Morning,BX,BK,F
PAS,21,4DSD,TOYOT,78.0,Morning,K,GREY,F
PAS,21,2DSD,VOLKS,77.0,Morning,K,WH,F
PAS,71,SUBN,JEEP,84.0,Morning,K,BK,I
PAS,38,SUBN,FORD,60.0,Morning,K,WHITE,I
PAS,48,SUBN,NISSA,108.0,Morning,Q,BK,F
PAS,71,SUBN,NISSA,45.0,Afternoon,BX,GY,F
PAS,38,SUBN,ACURA,46.0,Early Morning,BX,WH,F
PAS,74,SUBN,LEXUS,70.0,Morning,K,GY,I
PAS,46,SUBN,HONDA,70.0,Early Morning,K,BR,F
PAS,21,SUBN,NISSA,76.0,Afternoon,K,GY,F
PAS,21,SUBN,HYUND,72.0,Afternoon,K,BK,F
PAS,21,4DSD,BMW,48.0,Morning,BX,SILVE,F
PAS,14,SUBN,AUDI,62.0,Early Morning,K,WHITE,F
PAS,68,SUBN,TOYOT,60.0,Morning,K,WH,I
PAS,40,4DSD,NISSA,84.0,Early Morning,K,BK,F
PAS,20,SUBN,TOYOT,52.0,Morning,BX,WH,F
PAS,21,4DSD,HONDA,70.0,Early Morning,K,BL,F
PAS,70,4DSD,ME/BE,76.0,Morning,K,BK,I
PAS,70,4DSD,INFIN,44.0,Morning,BX,GREY,F
PAS,14,4DSD,TOYOT,44.0,Morning,BX,GY,O
PAS,21,SUBN,NISSA,109.0,Morning,Q,BK,F
PAS,40,4DSD,NISSA,79.0,Early Morning,K,RD,F
PAS,37,SUBN,HONDA,94.0,Morning,K,BR,O
PAS,38,SUBN,TOYOT,23.0,Afternoon,NY,GY,I
PAS,21,SUBN,AUDI,19.0,Morning,NY,BK,O
PAS,46,SUBN,LEXUS,70.0,Early Morning,K,WH,F
PAS,14,SUBN,HONDA,48.0,Early Morning,BX,BL,F
PAS,21,4DSD,TESLA,19.0,Morning,NY,RED,F
PAS,19,SUBN,HONDA,50.0,Early Morning,BX,GY,O
PAS,71,SUBN,HONDA,45.0,Early Morning,BX,RD,O
PAS,71,4DSD,ACURA,43.0,Afternoon,BX,GY,F
PAS,21,SUBN,NISSA,42.0,Afternoon,BX,BK,I
PAS,14,SUBN,AUDI,19.0,Morning,NY,WHITE,F
PAS,21,4DSD,HONDA,104.0,Morning,Q,BK,F
PAS,21,SUBN,FORD,24.0,Morning,NY,BL,O
PAS,71,2DSD,TOYOT,84.0,Morning,K,GY,F
PAS,53,4DSD,CHEVR,108.0,Early Morning,Q,GY,I
PAS,74,SUBN,TESLA,114.0,Morning,Q,WH,F
PAS,21,SUBN,ME/BE,9.0,Morning,NY,RD,F
PAS,31,4DSD,FORD,18.0,Early Morning,NY,GR,F
PAS,21,SUBN,HONDA,104.0,Morning,Q,GY,O
PAS,70,4DSD,CHRYS,79.0,Early Morning,K,BL,F
PAS,46,SUBN,BMW,70.0,Morning,K,LT/,F
PAS,38,4DSD,TOYOT,109.0,Morning,Q,WH,F
999,70,SUBN,JEEP,84.0,Morning,K,BLACK,F
PAS,14,4DSD,MERCU,115.0,Morning,Q,GY,I
PAS,71,SUBN,NISSA,108.0,Afternoon,Q,GY,F
PAS,71,SUBN,NISSA,105.0,Morning,Q,BL,O
PAS,20,4DSD,HONDA,48.0,Morning,BX,BLACK,F
PAS,14,4DSD,HYUND,17.0,Early Morning,NY,BLACK,O
PAS,16,SUBN,HYUND,73.0,Morning,K,GY,F
PAS,70,4DSD,HONDA,90.0,Early Morning,K,WH,F
PAS,21,SUBN,FORD,5.0,Morning,NY,WH,O
PAS,70,4DSD,VOLKS,112.0,Morning,Q,WH,I
PAS,14,SUBN,ACURA,67.0,Morning,K,BL,F
PAS,14,4DSD,BMW,94.0,Early Morning,K,GY,F
PAS,21,4DSD,VOLKS,79.0,Afternoon,K,WH,F
PAS,74,4DSD,TOYOT,79.0,Afternoon,K,GY,F
